run_name,model,contrastive,gradient,window,lr,seed,acc1,acc5,stage
SEL_grad0_w50-cnn-c1-g0-w50-bs32-lr0.0003-seed42-20260529-110446-197d21,cnn,1,0,50,0.0003,42,30.00882565975189,74.22771453857422,eval_contrastive
SEL_grad0_w50-cnn-c1-g0-w50-bs32-lr0.001-seed42-20260529-111609-f8686e,cnn,1,0,50,0.001,42,26.47837698459625,69.46160793304443,eval_contrastive
SEL_grad0_w50-cnn-c1-g0-w50-bs32-lr0.003-seed42-20260529-112737-ab597e,cnn,1,0,50,0.003,42,24.18358325958252,68.40246915817261,eval_contrastive
SEL_grad25_w50-cnn-c1-g25-w50-bs32-lr0.0003-seed42-20260529-110553-98b84d,cnn,1,25,50,0.0003,42,39.612188935279846,75.25392770767212,eval_contrastive
SEL_grad25_w50-cnn-c1-g25-w50-bs32-lr0.001-seed42-20260529-111716-70fa20,cnn,1,25,50,0.001,42,41.08956754207611,75.43859481811523,eval_contrastive
SEL_grad25_w50-cnn-c1-g25-w50-bs32-lr0.003-seed42-20260529-112845-4b2f6d,cnn,1,25,50,0.003,42,38.042473793029785,74.97691512107849,eval_contrastive
SEL_grad0_w50-lstm-c1-g0-w50-bs32-lr0.0003-seed42-20260529-110659-12af11,lstm,1,0,50,0.0003,42,23.742277920246124,59.48808789253235,eval_contrastive
SEL_grad0_w50-lstm-c1-g0-w50-bs32-lr0.001-seed42-20260529-111820-9ad982,lstm,1,0,50,0.001,42,29.74404394626617,66.10767841339111,eval_contrastive
SEL_grad0_w50-lstm-c1-g0-w50-bs32-lr0.003-seed42-20260529-112950-6fddec,lstm,1,0,50,0.003,42,30.27361035346985,64.51897621154785,eval_contrastive
SEL_grad25_w50-lstm-c1-g25-w50-bs32-lr0.0003-seed42-20260529-110836-fa4e5e,lstm,1,25,50,0.0003,42,50.69252252578735,84.85687971115112,eval_contrastive
SEL_grad25_w50-lstm-c1-g25-w50-bs32-lr0.001-seed42-20260529-111959-415c8a,lstm,1,25,50,0.001,42,49.030470848083496,81.1634361743927,eval_contrastive
SEL_grad25_w50-lstm-c1-g25-w50-bs32-lr0.003-seed42-20260529-113129-8d5b24,lstm,1,25,50,0.003,42,49.58448708057404,81.9021224975586,eval_contrastive
SEL_grad0_w50-mlp-c1-g0-w50-bs32-lr0.0003-seed42-20260529-110255-00c066,mlp,1,0,50,0.0003,42,21.712268888950348,59.75286960601807,eval_contrastive
SEL_grad0_w50-mlp-c1-g0-w50-bs32-lr0.001-seed42-20260529-111419-c2b759,mlp,1,0,50,0.001,42,21.800529956817627,60.10591387748718,eval_contrastive
SEL_grad0_w50-mlp-c1-g0-w50-bs32-lr0.003-seed42-20260529-112545-19d875,mlp,1,0,50,0.003,42,23.477493226528168,58.075904846191406,eval_contrastive
SEL_grad25_w50-mlp-c1-g25-w50-bs32-lr0.0003-seed42-20260529-110352-e78251,mlp,1,25,50,0.0003,42,23.73037934303284,57.34072327613831,eval_contrastive
SEL_grad25_w50-mlp-c1-g25-w50-bs32-lr0.001-seed42-20260529-111515-45a81c,mlp,1,25,50,0.001,42,23.91505092382431,56.50969743728638,eval_contrastive
SEL_grad25_w50-mlp-c1-g25-w50-bs32-lr0.003-seed42-20260529-112642-bbbcbd,mlp,1,25,50,0.003,42,24.376732110977173,55.493998527526855,eval_contrastive
SEL_grad0_w50-transformer-c1-g0-w50-bs32-lr0.0003-seed42-20260529-111009-840ac1,transformer,1,0,50,0.0003,42,37.33451068401337,64.25419449806213,eval_contrastive
SEL_grad0_w50-transformer-c1-g0-w50-bs32-lr0.001-seed42-20260529-112134-9ddcce,transformer,1,0,50,0.001,42,36.71668171882629,66.01941585540771,eval_contrastive
SEL_grad0_w50-transformer-c1-g0-w50-bs32-lr0.003-seed42-20260529-113303-773eed,transformer,1,0,50,0.003,42,30.803176760673523,64.25419449806213,eval_contrastive
SEL_grad25_w50-transformer-c1-g25-w50-bs32-lr0.0003-seed42-20260529-111217-441576,transformer,1,25,50,0.0003,42,51.80055499076843,81.71745538711548,eval_contrastive
SEL_grad25_w50-transformer-c1-g25-w50-bs32-lr0.001-seed42-20260529-112342-3896e4,transformer,1,25,50,0.001,42,51.43120884895325,83.93352031707764,eval_contrastive
SEL_grad25_w50-transformer-c1-g25-w50-bs32-lr0.003-seed42-20260529-113511-862ed0,transformer,1,25,50,0.003,42,47.183749079704285,80.14773726463318,eval_contrastive
